Exporter,"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
United States,"Africa","af","South Africa","afzaf","zaf",76,2021
United States,"Asia","as","United Arab Emirates","asare","are",364,2021
United States,"Asia","as","Armenia","asarm","arm",752,2021
United States,"Asia","as","China","aschn","chn",94087,2021
United States,"Asia","as","Cyprus","ascyp","cyp",724,2021
United States,"Asia","as","Hong Kong","ashkg","hkg",104917,2021
United States,"Asia","as","India","asind","ind",2516,2021
United States,"Asia","as","Israel","asisr","isr",11000,2021
United States,"Asia","as","Japan","asjpn","jpn",3754,2021
United States,"Asia","as","South Korea","askor","kor",36492,2021
United States,"Asia","as","Singapore","assgp","sgp",6281,2021
United States,"Asia","as","Thailand","astha","tha",570,2021
United States,"Asia","as","Chinese Taipei","asxxb",,3724,2021
United States,"Europe","eu","Austria","euaut","aut",4802,2021
United States,"Europe","eu","Belgium","eubel","bel",2257,2021
United States,"Europe","eu","Switzerland","euche","che",30594,2021
United States,"Europe","eu","Czechia","eucze","cze",3899,2021
United States,"Europe","eu","Germany","eudeu","deu",200131,2021
United States,"Europe","eu","Denmark","eudnk","dnk",3858,2021
United States,"Europe","eu","Spain","euesp","esp",13278,2021
United States,"Europe","eu","Estonia","euest","est",198,2021
United States,"Europe","eu","Finland","eufin","fin",4762,2021
United States,"Europe","eu","France","eufra","fra",68081,2021
United States,"Europe","eu","United Kingdom","eugbr","gbr",301530,2021
United States,"Europe","eu","Greece","eugrc","grc",37521,2021
United States,"Europe","eu","Hungary","euhun","hun",5646,2021
United States,"Europe","eu","Ireland","euirl","irl",1365,2021
United States,"Europe","eu","Italy","euita","ita",78702,2021
United States,"Europe","eu","Netherlands","eunld","nld",174,2021
United States,"Europe","eu","Norway","eunor","nor",7994,2021
United States,"Europe","eu","Poland","eupol","pol",729,2021
United States,"Europe","eu","Portugal","euprt","prt",6472,2021
United States,"Europe","eu","Romania","eurou","rou",1,2021
United States,"Europe","eu","Slovenia","eusvn","svn",160,2021
United States,"Europe","eu","Sweden","euswe","swe",8978,2021
United States,"North America","na","Bermuda","nabmu","bmu",94,2021
United States,"North America","na","Canada","nacan","can",8988837,2021
United States,"North America","na","Guatemala","nagtm","gtm",73,2021
United States,"North America","na","Jamaica","najam","jam",41,2021
United States,"North America","na","Mexico","namex","mex",1785707,2021
United States,"Oceania","oc","Australia","ocaus","aus",1879,2021
United States,"South America","sa","Chile","sachl","chl",665,2021
