Species,Family,Country
cervicornis (L.),Cerambycidae,"['Brazil', 'Ecuador', 'Guyana', 'Jamaica', 'Paraguay']"
molarius Bates,Cerambycidae,['Mexico']
sp. cer. molarius Bates,Cerambycidae,['Mexico']
cer. maxillosus (Drury),Cerambycidae,['Mexico']
maxillosus (Drury),Cerambycidae,['Mexico']
mexicana (Sturm),Cerambycidae,['Mexico']
atys White,Cerambycidae,['Ecuador']
cacicus White,Cerambycidae,['Ecuador']
erythrocerus Reiche,Cerambycidae,['Ecuador']
modestus Fries,Cerambycidae,['Ecuador']
damicornis (L.),Cerambycidae,"['Brazil', 'Guyana']"
maxillosus (Drury),Cerambycidae,['Mexico']
molarius (Bates),Cerambycidae,['Mexico']
pini Chevr.,Cerambycidae,['Mexico']
mexicana Jacoby,Chrysomelidae,['Mexico']
decemlineata Say,Chrysomelidae,['Mexico']
serripes (Sturm),"Chrysomelidae
Bruchinae",['']
(scheelaea Bridwell?),"Chrysomelidae
Bruchinae",['Colombia']
cardo (Fahr.),"Chrysomelidae
Bruchinae",['Brazil']
nucleorum (F.),"Chrysomelidae
Bruchinae",['Brazil']
giganteus (Chevrolat),"Chrysomelidae
Bruchinae",['']
sordidus (Germar),Curculionidae,['Ecuador']
acupunctatus Gyll. syn,Curculionidae,['Mexico']
interstitialis Gyll.,Curculionidae,['Mexico']
borassi (F.),"Curculionidae
Dryophthorinae",['Ecuador']
nitidulus (Guérin),"Curculionidae
Dryophthorinae",['Ecuador']
cinnamominus Champ.,"Curculionidae
Dryophthorinae",['Ecuador']
dimidiatipennis (Jekel),"Curculionidae
Dryophthorinae",['Ecuador']
hemipterus (L.),"Curculionidae
Dryophthorinae","['Ecuador', 'Peru']"
spinolae (Gyll.),"Curculionidae
Dryophthorinae",['Mexico']
barbirostris (F.),"Curculionidae
Dryophthorinae","['Brazil', 'Peru']"
cruentatus Fabr.,"Curculionidae
Dryophthorinae",['Mexico']
palmarum (L.),Curculionidae Dryophthorinae,"['Brazil', 'Barbados', 'Ecuador', 'Mexico']"
explanatus LeConte,Dytiscidae,['Mexico']
fimbriolatus (Say),Dytiscidae,['Mexico']
flavocinctus Aubé,Dytiscidae,['Mexico']
occidentalis Aubé,Dytiscidae,['Mexico']
habilis Say,Dytiscidae,['Mexico']
marginicollis LeConte,Dytiscidae,['Mexico']
apicalis Sharp syn,Dytiscidae,['Mexico']
fasciatus Aubé,Dytiscidae,['Mexico']
giganteus (Laporte),Dytiscidae,['Mexico']
atricolor (Aubé),Dytiscidae,['Mexico']
consimilis Motsch.,Dytiscidae,['Mexico']
basilaris (Harris),Dytiscidae,['Mexico']
marmoratus (Gray),Dytiscidae,['Mexico']
lafargi Chevrolat,Elateridae,['Mexico']
rugatus Cand.,Elateridae,['Mexico']
mexicanus (Champ.),Elateridae,['Mexico']
mexicana Cand.,Elateridae,['Mexico']
mexicanus Champ. ? syn,Elateridae,['Mexico']
pellucens Esch.,Elateridae,['Mexico']
chilensis (Germain),Elmidae,"['Chile', 'Peru']"
condimentarius (Philippi),Elmidae,"['Chile', 'Peru']"
parcus Say,Gyrinidae,['Mexico']
plicatus Régimb.,Gyrinidae,['Mexico']
punctatus Aubé,Haliplidae,['Mexico']
mexicanus (Wehncke),Haliplidae,['Mexico']
ovalis Zimm.,Haliplidae,['Mexico']
guidonis Marseul,Histeridae,['Mexico']
mexicanus Lap.,Hydrophilidae,"['Mexico', 'Panama']"
sublaevis (LeC.),Hydrophilidae,['Mexico']
tinctus Sharp,Hydrophilidae,['Mexico']
virescens F.,Lucanidae,['Mexico']
virescens (F.),Lucanidae,['Mexico']
feisthamelii (Guërin),Lucanidae,['Ecuador']
lindenii Murray,Lucanidae,['Ecuador']
"metallifer Bomans &
Lacroix",Lucanidae,['Ecuador']
dugesi Champ.,Meloidae,['Mexico']
laevis Leach,Meloidae,['Mexico']
nebulosus Champ.,Meloidae,['Mexico']
yucatanus Bates,Passalidae,['Mexico']
striatopunctatus Perch.,Passalidae,['Mexico']
yucatanus Bates,Passalidae,['Mexico']
zodiacus Truq.,Passalidae,['Mexico']
rimator Truqui,Passalidae,['Mexico']
interruptus L.,Passalidae,['Suriname']
interstitialis Esch.,Passalidae,['Mexico']
punctiger Lep. & Serv.,Passalidae,['Mexico']
puntatostriatus Perch.,Passalidae,['Mexico']
af. punctiger Lep. & Serv.,Passalidae,['Mexico']
leachi MacLeay,Passalidae,['Mexico']
striatopunctatus (Perch.),Passalidae,['Mexico']
yucatanus (Bates),Passalidae,['Mexico']
zodiacus (Truq.),Passalidae,['Mexico']
corticicola (Truq.),Passalidae,['Mexico']
sinuosus (Drapiez),Passalidae,['Colombia']
castanea Erichson,Scarabaeidae,['Ecuador']
jamesoni Murray,Scarabaeidae,['Ecuador']
vulgaris Arrow,Scarabaeidae,['Ecuador']
"humectus hidalgoensis
Bates",Scarabaeidae,['Mexico']
macropus (Franc.),Scarabaeidae,['Mexico']
antisanae Bates,Scarabaeidae,['Ecuador']
biloba (L.),Scarabaeidae,['Ecuador']
mutabilis Gory & Perch.,Scarabaeidae,['Mexico']
capitata Hohne,Scarabaeidae,['Mexico']
fasciolata Bates,Scarabaeidae,['Mexico']
guttata Bates,Scarabaeidae,['Mexico']
burmeisteri Reiche,Scarabaeidae,['Ecuador']
hercules (L.),Scarabaeidae,"['Brazil', 'Ecuador', 'Mexico']"
hyllus Chev.,Scarabaeidae,['Mexico']
pan (F.),Scarabaeidae,['Mexico']
nigrum (Ohaus),Scarabaeidae,['Brazil']
goliathus Zucht.,Scarabaeidae,['Mexico']
aegeon (Drury),Scarabaeidae,['Ecuador']
eacus Burmeister,Scarabaeidae,['Ecuador']
imperialis Thomson,Scarabaeidae,['Mexico']
tersander Burmeister,Scarabaeidae,['Mexico']
unicolor (Bates),Scarabaeidae,['Ecuador']
bourcieri Guërin,Scarabaeidae,['Ecuador']
ocellatus Burm.,Scarabaeidae,['Mexico']
dimidiatus Guér.,Scarabaeidae,['Mexico']
leneatus Chev.,Scarabaeidae,['Mexico']
crassum Prell,Scarabaeidae,"['Colombia', 'Peru']"
actaeon (L.),Scarabaeidae,['Brazil']
anubis (Chevrolat),Scarabaeidae,['Brazil']
elephas (F.),Scarabaeidae,['Mexico']
"elephas occidentalis B. &
P.",Scarabaeidae,['Mexico']
hector Gory syn,Scarabaeidae,['Brazil']
nigricauda Bates,Scarabaeidae,['Ecuador']
mexicana (Blanch.),Scarabaeidae,['Mexico']
rubella (Bates),Scarabaeidae,['Mexico']
rugipennis (Schaufuss),Scarabaeidae,['Mexico']
forcipales Ohaus,Scarabaeidae,['Ecuador']
lutescens Blanchard,Scarabaeidae,['Ecuador']
parva Kirsch,Scarabaeidae,['Ecuador']
rufosignata Ohaus,Scarabaeidae,['Ecuador']
agenor (Ol.),Scarabaeidae,['Colombia']
aloeus aloeus (L.),Scarabaeidae,['Mexico']
aloeus julianus Burm.,Scarabaeidae,['Mexico']
fallaciosus Kolbe,Scarabaeidae,['Mexico']
corniger Bates,Scarabaeidae,['Mexico']
ensifer Bates,Scarabaeidae,['Mexico']
furcatus Burm.,Scarabaeidae,['Mexico']
teuthras Bates,Scarabaeidae,['Mexico']
thestalus Bates,Scarabaeidae,['Mexico']
rugulosus Say,Staphylinidae,['Mexico']
blapoides Esch.,Tenebrionidae,['Mexico']
spinipes Sol.,Tenebrionidae,['Mexico']
molitor L.,Tenebrionidae,['Mexico']
castaneum (Herbst),Tenebrionidae,['Mexico']
confusum Du Val,Tenebrionidae,['Mexico']
dermestoides (Fairm.),Tenebrionidae,['Brazil']
morio F.,Tenebrionidae,['Mexico']
jourdani Sallé,Zopheridae,['Mexico']
mexicanus Gray,Zopheridae,['Mexico']
germanica (L.),Ectobiidae,['Mexico']
americana L.,Blattidae,"['Brazil', 'Mexico']"
australasia (Fab.),Blattidae,['Mexico']
craniifer Burm.,Blattidae,['Mexico']
melanogaster Meigen,Drosophilidae,['Mexico']
hians Say,Ephydridae,['Mexico']
tibialis Cresson,Ephydridae,['Mexico']
domestica L.,Muscidae,['Mexico']
rubrithorax Lutz,Simuliidae,['Brazil']
anna (Williston),Syrphidae,['Mexico']
haagii (Jaennicke),Syrphidae,['Mexico']
ludens (Loew),Tephritidae,['Mexico']
dilatutus (Say),Belostomatidae,['Mexico']
ovatus Stal,Belostomatidae,['Mexico']
micantulum (Stal),Belostomatidae,['']
luctuosa Stal,Coreidae,['Mexico']
gigas (Klug),Coreidae,['Mexico']
edulis (Champion),Corixidae,['Mexico']
mercenaria (Say),Corixidae,['Mexico']
texcocana Jacz.,Corixidae,['Mexico']
abdominalis (Say),Corixidae,['Mexico']
bimaculata (Guérin),Corixidae,['Mexico']
azteca (Jacz.),Corixidae,['Mexico']
femorata Guér.,Corixidae,['Mexico']
reclinata (Germar),Membracidae,['Mexico']
stali La Rivers,Naucoridae,['']
usingeri La Rivers,Naucoridae,['']
cf. minutus De Carlo,Naucoridae,['']
unifasciata Guér.,Notonectidae,['Mexico']
taxcoensis Ancona,Pentatomidae,['Mexico']
tenebrosa Walker,Pentatomidae,['Mexico']
sufultus (Distant),Pentatomidae,['Mexico']
conspersa Stal,Pentatomidae,['Mexico']
cordifera (Walker),Pentatomidae,['Mexico']
mexicana Stal,Pentatomidae,['Mexico']
montezuma Distant,Pentatomidae,['Mexico']
petersii Distant,Pentatomidae,['Mexico']
rufomarginata (DeGeer),Pentatomidae,['Mexico']
taxcoensis (Ancona),Pentatomidae,['Mexico']
crenator (F.),Pentatomidae,['Mexico']
lineatus Walk,Pentatomidae,['Mexico']
strenuus Stal,Pentatomidae,['Mexico']
notulata (H.-S.),Pentatomidae,['Mexico']
fasciata (Haglund),Pentatomidae,['Mexico']
punctulatus (Palisot),Pentatomidae,['Mexico']
montezuma Distant,Cicadidae,['Mexico']
picea (Walker),Cicadidae,['Mexico']
gigas (Olivier),Cicadidae,['Mexico']
montezuma (Distant),Cicadidae,['Mexico']
pruinosa (Say),Cicadidae,['Mexico']
postica (Walker),Cercopidae,['Mexico']
confusus (Cockerell),Dactylopidae,['Mexico']
indicus Green,Dactylopidae,['Mexico']
coccus Costa,Dactylopiidae,['Mexico']
tomentosus Lamarck,Dactylopiidae,['Mexico']
expensa Germar,Membracidae,['Mexico']
monogramma Germar,Membracidae,['Mexico']
orizabae Fowler,Membracidae,['Mexico']
reclinata Germar,Membracidae,['Mexico']
spinosa (F.),Membracidae,"['Brazil', 'Colombia', 'Ecuador']"
fimbriata Distant,Tibicinidae,['Ecuador']
mellifera L.,Apidae,['']
atratus Franklin,Apidae,['Ecuador']
diligens Smith,Apidae,['Mexico']
ecuadorius Meunier,Apidae,['Ecuador']
ephippiatus Say,Apidae,['Mexico']
formosus Smith syn,Apidae,['Mexico']
funebris Smith,Apidae,['Ecuador']
medius Cresson,Apidae,['Mexico']
robustus Smith,Apidae,['Ecuador']
rufocinctus Cresson,Apidae,['Mexico']
capitata (Smith),Apidae,['Brazil']
femorata (Smith),Apidae,['Brazil']
zexmemiae (Cockerel),Apidae,['Mexico']
ghilianii (Spinola),Apidae,['Brazil']
schrottkyi (Friese),Apidae,['Brazil']
nigra (Lepeletier),Apidae,['Mexico']
silvestrii (Friese),Apidae,['Brazil']
acapulconis (Strand),Apidae,['Mexico']
"argentina Camargo &
Moure",Apidae,['Argentina']
mombuca (Smith),Apidae,['Brazil']
chamelensis Ayala,Apidae,['Mexico']
limao (Smith),Apidae,"['Brazil', 'Mexico']"
niitkip Ayala,Apidae,['Mexico']
asilvai Moure,Apidae,['Brazil']
atratula Ill. syn,Apidae,['Brazil']
beecheii Bennett,Apidae,['Mexico']
bicolor Lep.,Apidae,['Brazil']
bicolor schencki Gribodo,Apidae,['Brazil']
bilineata Sm,Apidae,['Brazil']
compressipes (Fabr.),Apidae,['Brazil']
compressipes fasciculata Smith,Apidae,['Brazil']
crinita Moure & Kerr,Apidae,['Brazil']
dorsalis Smith,Apidae,['Brazil']
eburnea fuscopilosa,Apidae,['Brazil']
fasciata Latr.,Apidae,['Mexico']
fasciata guerreroensis,Apidae,['Mexico']
fasciata scutellaris Latr.,Apidae,['Brazil']
grandis Guérin,Apidae,['Brazil']
interrupta Latr.,Apidae,['Brazil']
mandacaia Smith,Apidae,['Brazil']
marginata Lep.,Apidae,['Brazil']
melanoventer Schwarz,Apidae,['Brazil']
nigra Lep. syn,Apidae,['Brazil']
obscurior Moure,Apidae,['']
orbignyi (Guérin),Apidae,['Argentina']
"pseudocentris
pseudocentris Cock.",Apidae,['Brazil']
quadrifasciata Lep.,Apidae,['Brazil']
rufiventris Lep.,Apidae,['Brazil']
schencki picadensis Strand,Apidae,['Brazil']
schencki schencki Gribodo,Apidae,['Brazil']
schwarzi Moure,Apidae,['Brazil']
scutellaris Latr.,Apidae,"['Brazil', 'Mexico']"
seminigra merrillae Cock.,Apidae,['Brazil']
solani Cock.,Apidae,['Brazil']
perilampoides (Cresson),Apidae,['Mexico']
testaceicornis (Lep.),Apidae,"['Brazil', 'Mexico']"
obscura (Friese),Apidae,['Brazil']
tataira (Smith),Apidae,['Brazil']
"glabella Camargo &
Moure",Apidae,['Argentina']
bilineata (Say),Apidae,['Mexico']
cf. cupira (Smith),Apidae,['Brazil']
orizabaensis (Strand),Apidae,['Mexico']
catamarcensis,Apidae,['Argentina']
emerina (Friese),Apidae,['Brazil']
frontalis (Friese),Apidae,['Mexico']
mexica Ayala,Apidae,['Mexico']
molesta (Puls),Apidae,['Argentina']
mosquito (Smith),Apidae,['Brazil']
remota (Holmb.),Apidae,['Brazil']
lurida (Smith),Apidae,['Brazil']
hellwegeri (Friese),Apidae,['Mexico']
jujuyensis (Schrottky),Apidae,['Argentina']
mexicana Guérin,Apidae,['Mexico']
nigro hirta Moure,Apidae,['Brazil']
nigrohirta (Moure),Apidae,['Brazil']
pectoralis (Dalla Torre),Apidae,['Mexico']
polystica (Moure),Apidae,['Brazil']
postica (Latreille),Apidae,['Brazil']
tubiba (Smith),Apidae,['Brazil']
xanthotricha (Moure),Apidae,['Brazil']
quadripunctata (Lep.),Apidae,['']
dorsalis (Smith),Apidae,['Brazil']
clavipes (F.),Apidae,"['Brazil', 'Colombia']"
angustula (Latr.),Apidae,"['Brazil', 'Ecuador']"
fiebrigi (Schwarz),Apidae,['']
branneri Cockerell,Apidae,['Brazil']
chanchamayoensis Schwarz,Apidae,['Brazil']
cilipes F.,Apidae,['Brazil']
clavipes (F.),Apidae,"['Brazil', 'Colombia']"
dallatorreana Friese,Apidae,['Brazil']
flaveola Cock.,Apidae,['Brazil']
fulviventris Guérin-M.,Apidae,"['Brazil', 'Mexico']"
fuscipennis Friese,Apidae,['Mexico']
geniculata Ill.,Apidae,['Brazil']
ghilianii (Spinola),Apidae,['Brazil']
hyalinata (Lepeletier),Apidae,['Brazil']
hypogea Silvestri,Apidae,['Brazil']
jaty Smith,Apidae,['Mexico']
leucogaster Cockerell,Apidae,['Brazil']
mombuca Smith,Apidae,['Brazil']
muscaria G. syn ?,Apidae,['Brazil']
nigra nigra Cresson,Apidae,['Mexico']
recursa Smith,Apidae,['Brazil']
silvestrii Friese,Apidae,['Brazil']
spinipes (F.),Apidae,['Brazil']
trinidadensis (Prov.),Apidae,['Colombia']
pipioli Ayala,Apidae,['Mexico']
schultessi (Friese),Apidae,['Mexico']
ordinaria Smith,Apidae,['Argentina']
gillettei (Rohwer),Diprionidae,['Mexico']
octospinosus (Reich),Formicidae,['Mexico']
rugosus (Smith),Formicidae,['Mexico']
bisphaerica Forel syn,Formicidae,['Brazil']
capiguara Goncalves,Formicidae,['Brazil']
cephalotes (L.),Formicidae,"['Brazil', 'Colombia', 'Ecuador', 'Guyana', 'Honduras', 'Mexico', 'Nicaragua']"
laevigata (Smith),Formicidae,['Colombia']
mexicana (Smith),Formicidae,['Mexico']
opaciceps Borgmeier syn,Formicidae,['Brazil']
sexdens (L.),Formicidae,"['Brazil', 'Colombia', 'Ecuador']"
texana Buckley,Formicidae,['Mexico']
"maculatus dumetorum
Wheeler",Formicidae,['Mexico']
atratus (L.),Formicidae,['Peru']
burchellii (Westwood),Formicidae,['']
apiculatum Mayr,Formicidae,['Mexico']
"apiculatum luctuosum
Wheeler",Formicidae,['Mexico']
melliger Forel,Formicidae,['Mexico']
mexicanus Wesmael,Formicidae,['Mexico']
barbatus (Smith),Formicidae,['Mexico']
formosus (Ohaus),Tenthredinidae,['Brazil']
angulata (F.),Vespidae,['Colombia']
areata (Say),Vespidae,['Mexico']
baezae (Richards),Vespidae,['Ecuador']
corneliana (Richards),Vespidae,['Ecuador']
lobipleura (Richards),Vespidae,['Ecuador']
ornata (Ducke),Vespidae,['Ecuador']
pallipes (Olivier),Vespidae,['Peru']
panamensis (Cameron),Vespidae,['Mexico']
paraensis (Spinola),Vespidae,['Ecuador']
pallens (F.),Vespidae,"['Brazil', 'Ecuador']"
pallida (Oliv.),Vespidae,['Ecuador']
strigata Richards,Vespidae,['Ecuador']
thoracica Buysson,Vespidae,['Colombia']
azteca (Sauss.),Vespidae,['Mexico']
lecheguana (Latr.),Vespidae,"['Brazil', 'Ecuador', 'Mexico']"
mellifica (Say),Vespidae,['Mexico']
wagnerianus (Saussure),Vespidae,['Ecuador']
media Cooper,Vespidae,['Brazil']
"quadrimaculata (Gribodo)
sensu Richards",Vespidae,['Brazil']
basimacula (Cameron),Vespidae,['Mexico']
cubensis (Saussure),Vespidae,['Mexico']
pallidipectus (Smith),Vespidae,['Mexico']
rotundicollis (Cameron),Vespidae,['Ecuador']
tomentosus Zikan,Vespidae,['Ecuador']
dimidiata Saussure,Vespidae,['Ecuador']
apicalis (F.),Vespidae,['Mexico']
apicalis Saussure,Vespidae,['Mexico']
bicolor Lep.,Vespidae,['Ecuador']
canadensis (L.),Vespidae,['Mexico']
carnifex (F.),Vespidae,['Mexico']
cavapita (Saussure),Vespidae,['Argentina']
deceptor Schulz,Vespidae,['Ecuador']
dorsalis (F.),Vespidae,['Mexico']
erythrocephalus Latr.,Vespidae,['Colombia']
instabilis Sauss.,Vespidae,['Mexico']
kaibabensis Hayward,Vespidae,['Mexico']
major Beauv.,Vespidae,['Mexico']
occipitalis Ducke,Vespidae,['Ecuador']
pacificus F.,Vespidae,['Colombia']
testaceicolor Bequart,Vespidae,['Ecuador']
versicolor (Ol.),Vespidae,"['Argentina', 'Colombia']"
modestes Smith,Vespidae,['Mexico']
aequatorialis Zavattari,Vespidae,['Ecuador']
